...1,ID,DeathOrSampleDate,DateInfo,English,Latin,family,order,location,postal.code,province,Long,Lat,Remark,Surveillance,GenBank,UniqueID,Sample,CT
43,3170713002,2017-07-11,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Zutphen,7200,Gelderland,6.1996464,52.124716,CoordinatesConfidential_Mask!,DeadWildBirds,MN122193,AS201700087,heart,17
44,3170714005,2017-07-13,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Doetinchem,7000,Gelderland,6.2813474,51.9624833,CoordinatesConfidential_Mask!,DeadWildBirds,MN122194,AS201700090,brain,13.9
45,3170718007,2017-07-14,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Rosmalen,5243,Brabant,5.370002,51.707364,CoordinatesConfidential_Mask!,DeadWildBirds,MN122195,AS201700096,brain,14.4
46,3170719003,2017-07-17,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Ijsselstein,3400,Utrecht,5.029924,52.029367,CoordinatesConfidential_Mask!,DeadWildBirds,MN122205,AS201700152,brain,24.98
47,3170720004,2017-07-19,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Gelmonde,5293,Brabant,5.356223,51.617245,CoordinatesConfidential_Mask!,DeadWildBirds,MN122196,AS201700103,brain,22.7
48,3170726001,2017-07-25,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Soest,3764,Utrecht,5.298339,52.175925,CoordinatesConfidential_Mask!,DeadWildBirds,MN122197,AS201700106,brain,23.8
49,3170727007,2017-07-25,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bennekom,6721,Gelderland,5.677516,52.008333,CoordinatesConfidential_Mask!,DeadWildBirds,MN122198,AS201700109,brain,25.2
50,3170728001,2017-07-27,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Enschede,7504,Overijssel,6.893072,52.232071,CoordinatesConfidential_Mask!,DeadWildBirds,MN122199,AS201700112,brain,18
51,3170801003,2017-07-30,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Grenspad,3233,N-Holland,5.138683,52.310053,CoordinatesConfidential_Mask!,DeadWildBirds,MN122200,AS201700118,brain,22
52,3170802012,2017-08-01,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Koekange,7958,Drenthe,6.358166,52.723004,CoordinatesConfidential_Mask!,DeadWildBirds,MN122201,AS201700121,brain,27.8
53,3170802014,2017-08-01,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Enschede,7504,Overijssel,6.836999,52.220662,CoordinatesConfidential_Mask!,DeadWildBirds,MN122202,AS201700124,brain,16.4
54,3170804001,2017-08-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Huizen,1271,N-Holland,5.247442,52.299934,CoordinatesConfidential_Mask!,DeadWildBirds,MN122203,AS201700127,brain,26.6
55,3170804002,2017-08-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Lelystad,8225,Flevoland,5.487489,52.520249,CoordinatesConfidential_Mask!,DeadWildBirds,MN122204,AS201700130,brain,20.5
56,3170810007,2017-08-08,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Almere,1300,Flevoland,5.229774,52.386299,CoordinatesConfidential_Mask!,DeadWildBirds,MN122206,AS201700155,brain,15.13
57,3170825001,2017-08-24,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Almere,1300,Flevoland,5.251042,52.373152,CoordinatesConfidential_Mask!,DeadWildBirds,MN122207,AS201700167,brain,29.27
58,3170825002,2017-08-24,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Almere,1300,Flevoland,5.224232,52.340451,CoordinatesConfidential_Mask!,DeadWildBirds,MN122208,AS201700170,brain,26.03
59,3170907009,2017-08-30,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Utrecht,3521,Utrecht,5.074119,52.121976,CoordinatesConfidential_Mask!,DeadWildBirds,MN122209,AS201700174,brain,22.72
60,3170913006,2017-09-12,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Zoeterwoude,2381,Z-Holland,4.498621,52.120798,CoordinatesConfidential_Mask!,DeadWildBirds,MN122211,AS201700186,brain,23.93
61,3170914033,2017-09-13,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Eext,9463,Drenthe,6.7466151,53.039981,CoordinatesConfidential_Mask!,DeadWildBirds,MN122212,AS201700189,brain,16.52
62,3170915001,2017-09-14,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Epe,8160,Gelderland,5.979202,52.365962,CoordinatesConfidential_Mask!,DeadWildBirds,MN122210,AS201700177,brain,21.85
63,3170920008,2017-09-19,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Hardinxveld-giessendam,3370,Z-Holland,4.833416,51.822735,CoordinatesConfidential_Mask!,DeadWildBirds,MN122213,AS201700248,brain,23.65
64,3170922002,2017-09-21,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Hilversum,1200,N-Holland,4.89299,52.37269,CoordinatesConfidential_Mask!,DeadWildBirds,MN122214,AS201700254,brain,17.92
65,3180727033,2018-08-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Naarden,1412,N-Holland,5.154406,52.296909,CoordinatesConfidential_Mask!,DeadWildBirds,MN122216,AS201800081,brain,17.69
66,3180727034,2018-08-26,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Naarden,1412,N-Holland,5.154406,52.296909,CoordinatesConfidential_Mask!,DeadWildBirds,MN122217,AS201800082,brain,20.39
67,3180731007,2018-07-30,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Spijk,4147,Gelderland,6.841074,53.397484,CoordinatesConfidential_Mask!,DeadWildBirds,MN122218,AS201800084,brain,27.04
68,3180801019,2018-07-30,DateFound,European Greenfinch,Chloris chloris,Fringillidae,Passeriformes,Middelburg,4330,Zeeland,3.615344,51.523512,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS201800085,brain,17.22
69,3180801022,2018-07-30,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Middelburg,4330,Zeeland,3.615344,51.523512,CoordinatesConfidential_Mask!,DeadWildBirds,MN122219,AS201800086,brain,27.86
70,3180801026,2018-07-31,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Wierden,7465,Overijssel,6.541133,52.36006,CoordinatesConfidential_Mask!,DeadWildBirds,MN122220,AS201800087,brain,21.72
71,3180801028,2018-07-31,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Losser,7580,Overijssel,6.992081,52.266519,CoordinatesConfidential_Mask!,DeadWildBirds,MN122221,AS201800088,brain,18.6
72,3180802005,2018-07-31,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Rijswijk,2280,Z-Holland,4.348008,52.027768,CoordinatesConfidential_Mask!,DeadWildBirds,MN122222,AS201800089,brain,22.61
73,3180802008,2018-07-31,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Ermelo,3850,Gelderland,5.605118,52.294093,CoordinatesConfidential_Mask!,DeadWildBirds,MN122223,AS201800090,brain,28.02
74,3180802010,2018-07-31,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Ermelo,3850,Gelderland,5.605118,52.294093,CoordinatesConfidential_Mask!,DeadWildBirds,MN122224,AS201800091,brain,17.73
75,3180802014,2018-08-01,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Rotterdam,3000,Z-Holland,4.565227,51.965943,CoordinatesConfidential_Mask!,DeadWildBirds,MN122225,AS201800092,brain,23.42
76,3180803011,2018-08-01,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Oldambt,9670,Groningen,7.09163,53.17061,CoordinatesConfidential_Mask!,DeadWildBirds,MN122229,AS201800097,liver,28.93
77,3180803014,2018-08-02,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Leiden,2300,Z-Holland,4.455161,52.152462,CoordinatesConfidential_Mask!,DeadWildBirds,MN122226,AS201800093,brain,19.4
78,3180803038,2018-08-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bilthoven,3615,Utrecht,5.20952,52.130297,CoordinatesConfidential_Mask!,DeadWildBirds,MN122227,AS201800094,brain,20.94
79,3180806001,2018-08-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Middelburg,4330,Zeeland,3.608769,51.505723,CoordinatesConfidential_Mask!,DeadWildBirds,MN122228,AS201800095,brain,23.58
80,3180807002,2018-08-05,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Noordoostpolder,8300,Flevoland,5.771491,52.652433,CoordinatesConfidential_Mask!,DeadWildBirds,MN122230,AS201800099,brain,22.52
81,3180807003,2018-08-06,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Venlo,5900,Limburg,6.183023,51.475502,CoordinatesConfidential_Mask!,DeadWildBirds,MN122231,AS201800100,brain,20.24
