sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
MK956040,western europe,germany,sachsen,leipzig,turdidae sp.,thrush sp.,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956041,western europe,germany,schleswig-holstein,herzogtum lauenburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956042,western europe,germany,schleswig-holstein,dithmarschen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956043,western europe,germany,schleswig-holstein,lübeck,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956045,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956046,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956049,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956050,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956051,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956052,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956055,western europe,germany,sachsen,dresden,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MZ560931,western europe,germany,niedersachsen,braunschweig,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, INNT"
MZ754015,western europe,germany,nordrhein-westfalen,köln,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, INNT"
MZ754016,western europe,germany,bayern,münchen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, INNT"
MZ754017,western europe,germany,nordrhein-westfalen,herford,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, INNT"
OP422562,western europe,germany,bayern,passau,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
KY294722,western europe,germany,NA,NA,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases"
KY294723,western europe,germany,NA,NA,turdus merula,eurasian blackbird,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases"
LR989886,western europe,germany,berlin,NA,bubo scandiacus,snowy owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
LR989887,western europe,germany,berlin,NA,bubo scandiacus,snowy owl,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
LR989889,western europe,germany,berlin,NA,mergellus/lophodytes/mergus sp.,merganser sp.,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
LR989892,western europe,germany,berlin,NA,larus crassirostris,black-tailed gull,NA,NA,NA,2012,2012,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
