Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_lake_river_reservoir_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_lake_river_reservoir_C	Univariate_LR_delta_R2_lake_river_reservoir_C
0.482186160281811	0.498406496102001	0.463957806884237	0.466809071015036	0.0028512641307995
0.35047244626973	0.362206325220342	0.450195550687902	0.458651729297877	0.00845617860997522
0.456026497921207	0.466133985662096	0.411078775608758	0.409434981244421	-0.00164379436433715
0.498496156873473	0.508305992341054	0.368703749461164	0.370681138724215	0.00197738926305063
0.429520856533532	0.441607985581035	0.469670388365547	0.471427807277215	0.00175741891166808
0.549097979092012	0.569221021695636	0.458935834449754	0.465243986506739	0.00630815205698437
0.393824641263865	0.402643366655578	0.336190937411826	0.336393777012451	0.000202839600624449
0.363273053838869	0.368545074700925	0.432840580789488	0.435449698193949	0.00260911740446046
0.40823964259397	0.415315357403546	0.421260825303892	0.42501258495513	0.0037517596512372
0.362557138031507	0.372568017102732	0.39535641686789	0.400854460342487	0.00549804347459709
0.350429342803703	0.358019828664642	0.408250401668753	0.411407097715497	0.00315669604674385
0.38654895135973	0.39835961297917	0.468821021312595	0.475268770550286	0.0064477492376912
0.350262757682986	0.361128034421923	0.426564492835173	0.433103165304927	0.00653867246975404
0.384003525015585	0.393184556820602	0.460603493204345	0.466112738178165	0.00550924497381949
0.782976204893794	0.798892096725334	0.517983684916841	0.514934589079855	-0.00304909583698632
0.429921587824571	0.433938526475611	0.42763785839022	0.419523297615154	-0.00811456077506645
0.601550419709332	0.616593980887291	0.271673010477295	0.274692660190723	0.00301964971342822
0.437938487407643	0.448329326610567	0.350973545675491	0.354000891538945	0.00302734586345427
0.463057526076243	0.478307480443076	0.49810171486629	0.504094311242235	0.0059925963759449
0.570633711838618	0.586030969011499	0.367523319253551	0.373189345247608	0.0056660259940568
0.471344825821115	0.482505912754917	0.504167203690353	0.50154745519388	-0.00261974849647273
0.291484590419602	0.300845537783965	0.278041608887947	0.279078999774374	0.00103739088642657
0.349076385844539	0.358418401873327	0.328629981761808	0.331738184809946	0.0031082030481383
0.352169866054658	0.36439819834951	0.423838106044178	0.428057442690948	0.00421933664676905
0.637857495274072	0.643821028188192	0.306167313362339	0.299716480673921	-0.00645083268841873
0.518247310515415	0.533637638625865	0.408857281480034	0.410211369244436	0.00135408776440205
0.458480056801202	0.471734828984363	0.344433985112679	0.345214764830426	0.000780779717746982
0.595715418574304	0.606001552632857	0.466525849208692	0.471916357177867	0.00539050796917512
0.425908958064217	0.437495694716277	0.492623525085882	0.490657054779453	-0.00196647030642921
0.365895239883394	0.374489909580389	0.436113431006194	0.436130713664286	1.72826580918106e-05
0.523599875767326	0.534131668927882	0.371771529138599	0.366374522009239	-0.00539700712936025
0.592195918894034	0.602056703290209	0.48605633152856	0.492890521401136	0.00683418987257606
0.433339764031122	0.441953665898097	0.295232197681011	0.295106087631169	-0.000126110049842088
0.41790951774112	0.423192727153697	0.528077663948426	0.52228977840285	-0.00578788554557585
0.425658940868453	0.439553135950977	0.32385053316737	0.325987432314602	0.00213689914723231
0.5183700882234	0.521981339746534	0.443814065198077	0.435681382192177	-0.00813268300590053
0.614880193416137	0.626205766553883	0.431971863847771	0.429158157297745	-0.00281370655002561
0.624781515668878	0.644824790721426	0.328097817182146	0.334889794169195	0.00679197698704898
0.492453529719684	0.501898832029159	0.544958969249247	0.545649908523923	0.000690939274676228
0.638426167714997	0.65311415546015	0.464959786668546	0.47304374228305	0.00808395561450481
0.513830948050231	0.531002195960343	0.544148933071556	0.549362227050842	0.00521329397928605
0.421179212400409	0.441303228801021	0.234546411804383	0.242975301818314	0.00842889001393152
0.539746120624576	0.545788667686599	0.503260395367419	0.495896327211434	-0.00736406815598534
