Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_lake_river_reservoir_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_lake_river_reservoir_R	Univariate_LR_delta_R2_lake_river_reservoir_R
0.240182755564461	0.239851555573217	0.405881069958382	0.405405413653249	-0.000475656305133298
0.237115674083162	0.238140368101501	0.374696809338991	0.37981148925485	0.00511467991585896
0.146454929562371	0.146785643560496	0.197883217055999	0.199039143154919	0.00115592609892051
0.204459721141792	0.204377982529104	0.264640227175977	0.263996922725735	-0.000643304450241355
0.176855149231057	0.176619304172565	0.176388633541358	0.175988025504776	-0.000400608036582178
0.177930168023543	0.178928813721577	0.217822114114552	0.220320505273153	0.00249839115860079
0.184740446488914	0.184679522341822	0.290424205338617	0.28983492369147	-0.000589281647146556
0.218383892309887	0.21799541771324	0.36905611801325	0.368457359783467	-0.000598758229782559
0.331058115474386	0.331187468514768	0.305403533804577	0.305575207519693	0.000171673715115894
0.226509123719329	0.228040054213752	0.296148230478894	0.301149111547943	0.00500088106904939
