Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_bird_richness_C	Univariate_LR_R2_null_raster	Univariate_LR_R2_bird_richness_C	Univariate_LR_delta_R2_bird_richness_C
0.423055718948474	67.4838041895308	0.523713565107503	0.523296613628926	-0.00041695147857701
0.224446454619672	34.5773360670748	0.182683052497496	0.176590014216118	-0.00609303828137767
0.250366886507578	37.2334973673674	0.268132418003667	0.258359538610199	-0.00977287939346749
0.450144858773086	71.8144173282827	0.427096285197196	0.436018586755559	0.00892230155836321
0.259377735878584	41.7043743946067	0.103025122360525	0.108855954785992	0.00583083242546642
0.226205112576184	37.7940587826421	0.186852169556964	0.199975726235906	0.0131235566789417
0.352055382566653	56.6098818537671	0.372180569611526	0.38006407229303	0.0078835026815039
0.284922882468161	46.7613550816244	0.208473230882032	0.213223079942679	0.00474984906064704
0.386794913383328	62.0480708952756	0.246611865393323	0.251792329106264	0.0051804637129407
0.596573898870119	93.3967617340552	0.511737646583582	0.510091217392711	-0.00164642919087099
