tipnames	nuts3_id	lon	lat
MK598445|NA|turdus_merula|AT|2017-09-14	AT315	13.490076	47.9338054
MK598459|NA|turdus_merula|AT|2018-08-02	AT312	14.285918	48.3069096
MK598464|NA|turdus_merula|AT|2018-08-09	AT126	16.6339573	48.2671
MK598468|NA|turdidae_sp|AT|2018-08-16	AT225	15.59171	46.83772
MK598471|NA|turdus_merula|AT|2018-08-29	AT112	16.39663	47.73625
MK598473|NA|turdidae_sp|AT|2018-09-04	AT122	16.011635	47.7021318
MK121946|AT-G18/19|culex_pipiens|AT|2018-09-05	AT221	15.4417305	47.0678961
MF991886|BD1/17-AT|homo_sapiens|AT|2017-07-24	AT130	16.3713095	48.2080696
MF991887|BD1/16-AT|homo_sapiens|AT|2016-09-18	AT112	16.8305366	47.7458991
MF063042|AT-N211/16|turdus_merula|AT|2016-09-29	AT127	16.6126378	48.1186571
MF063043|HU-47540/16|turdus_merula|HU|2016-09-26	HU223	16.8416322	46.8416936
MF063050|HU-50898/15|turdus_pilaris|HU|2015-09-28	HU223	16.5570474	46.5537589
MF063051|HU-26076/11|turdus_merula|HU|2011-10-05	HU120	19.1351781	47.7841803
MF063052|HU-21356/10|turdus_merula|HU|2010-09-03	HU331	19.2880496	46.956503
KY113091|BNI-490|turdus_merula|DE|2016-09-25	DEA56	7.1911567	51.4018117
KY113101|BNI-504|turdus_merula|DE|2016-10-04	DEA14	6.5654082	51.33453
KY113102|BNI-507|turdus_merula|DE|2016-09-30	DEA1B	6.1565522	51.679984
KY113104|BNI-527|turdus_merula|DE|2016-10-09	DEA56	7.4328376	51.4031667
PV541149|7096_2024|homo_sapiens|HU|2024-08-07	HU211	18.6115195	47.196537
PV501205|204|culex_sp|HU|2024-07-21	HU120	19.2624362	47.4068857
PV501209|373|culex_sp|HU|2024-08-16	HU120	19.2624362	47.4068857
PV501210|406|culex_sp|HU|2024-08-24	HU110	19.040235	47.497912
PV501212|416|culex_sp|HU|2024-07-31	HU110	19.040235	47.497912
PV523801|9460|homo_sapiens|HU|2024-10-04	HU110	19.040235	47.497912
PV156649|Cyprus_2022|culex_pipiens|CY|2022-03-03	CY000	33.0413055	34.6786322
PV737682|USUV/HR/bird/85/2022|turdus_merula|HR|2022-08-26	HR050	15.981919	45.8150108
PV737683|USUV/HR/human/2073/2024|homo_sapiens|HR|2024-07-06	HR050	15.981919	45.8150108
PV737684|USUV/HR/human/1150/2024|homo_sapiens|HR|2024-09-12	HR064	15.9727054	45.9802398
PQ144555|ED-I-230/22|turdus_merula|DE|2022-09-04	DE929	9.4403547	52.5620786
PQ144556|ED-I-154/22|cyanistes_caeruleus|DE|2022-08-25	DEE02	11.9852673	51.4258427
PQ144557|ED-I-155/22|turdus_merula|DE|2022-09-03	DEE06	11.9841315	52.3835036
PQ144564|NA|strix_nebulosa|DE|2022-08-26	DED2F	13.6365623	50.8733147
NA|USUV-GR1439/2024|homo_sapiens|EL|2024-09-16	EL522	22.9444191	40.6400629
MT476071|USUV_4020_2018|NA|CH|2018	NA	8.227512	46.818188
KX816647|208576-8/2011|culex_pipiens|IT|2011-08	NA	12.56738	41.87194
KX816649|231247/2011|turdus_merula|IT|2011-09	NA	12.56738	41.87194
KX816651|211204-8/2012|culex_pipiens|IT|2012-08	NA	12.56738	41.87194
