tipnames	nuts3_id	lon	lat
OR166147|ED-I-04/19|turdus_merula|DE|2018-08-27	DEA1E	6.1818561	51.2442461
OR166148|ED-I-296/19|turdus_merula|DE|2018-09-18	DE931	9.8450765	52.6367036
OR166149|ED-I-300/19|turdus_merula|DE|2018-08-29	DE928	9.1243739	52.3574114
OP422562|ED-I-44/20|strix_nebulosa|DE|2019-09-09	DE228	13.2675984	48.346549
OP422565|USUV-19_51217-UGF187|tachyeres_sp|DE|2019-09-09	DE300	13.3394157	52.5078303
MT795154|NA|turdus_merula|DE|2016-09-30	DEA1B	6.1565522	51.679984
MN122147|AS201600042|turdus_merula|NL|2016-09-07	NL421	6.1724031	51.3703748
MN122153|AS201600062|turdus_merula|NL|2016-09-13	NL226	5.7288373	51.9074859
MN122157|AS201600101|turdus_merula|NL|2016-09-22	NL414	5.6302688	51.5394924
MN122161|AS201600115|turdus_merula|NL|2016-09-22	NL310	5.1630019	52.0278426
MN122169|AS201600173|turdus_merula|NL|2016-10-07	NL225	6.2937736	51.9646995
MN122173|AS201600227|turdus_merula|NL|2016-09-30	NL327	5.1668974	52.2291696
MN122178|AS201600265|turdus_merula|NL|2016-09-30	NL213	6.8936619	52.2215372
MN122185|AS201600284|turdus_merula|NL|2016-10-03	NL413	5.5140482	51.7611801
MN122194|AS201700090|turdus_merula|NL|2017-07-13	NL225	6.2937736	51.9646995
MN122195|AS201700096|turdus_merula|NL|2017-07-14	NL413	5.3608099	51.7171488
MN122199|AS201700112|turdus_merula|NL|2017-07-27	NL213	6.8936619	52.2215372
MN122200|AS201700118|turdus_merula|NL|2017-08-03	NL327	5.2433925	52.2994652
MN122201|AS201700121|turdus_merula|NL|2017-08-01	NL133	6.3184641	52.7000927
MN122202|AS201700124|turdus_merula|NL|2017-08-01	NL213	6.8936619	52.2215372
MN122204|AS201700130|turdus_merula|NL|2017-08-16	NL230	5.471422	52.518537
MN122205|AS201700152|turdus_merula|NL|2017-07-19	NL310	5.0403003	52.0177649
MN122207|AS201700167|turdus_merula|NL|2017-09-01	NL230	5.2647016	52.3507849
MN122209|AS201700174|turdus_merula|NL|2017-08-29	NL310	5.1229572	52.0919255
MN122210|AS201700177|turdus_merula|NL|2017-09-15	NL221	5.9836544	52.3450173
MN122211|AS201700186|turdus_merula|NL|2017-09-13	NL337	4.4967413	52.1216782
MN122212|AS201700189|turdus_merula|NL|2017-09-14	NL131	6.7357844	53.0177945
