tipnames	collection_regionname	collection_countryname	host_sciname	lat	long
KX816646|200092/2010|turdus_merula|ita|2010-08	southern europe	italy	turdus merula	42.7080607219025	12.208345049127
KX816647|208576-8/2011|culex_pipiens|ita|2011-08	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
KX816650|211984-4/2012|culex_pipiens|ita|2012-08	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
KX816651|211204-8/2012|culex_pipiens|ita|2012-08	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
KX816652|211204-7/2012|culex_pipiens|ita|2012-08	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
KX816653|206795-3/2012|culex_pipiens|ita|2012-09	southern europe	italy	culex pipiens	42.7080607219025	12.208345049127
MG888044|NA|culex_pipiens|srb|2014-08	southern europe	serbia	culex pipiens	44.2155831781841	20.7992241330769
KX977447|NA|turdus_merula|bel|2016-09	western europe	belgium	turdus merula	50.64017310615	4.66939027974939
KY263624|NA|turdus_merula|be_lg|2016-10	western europe	belgium	turdus merula	50.5190126793228	5.73807879213009
KY263625|NA|turdus_merula|be_ht|2016-10	western europe	belgium	turdus merula	50.4636955020128	3.97003361426239
KY263626|NA|turdus_merula|be_lg|2016-09	western europe	belgium	turdus merula	50.5190126793228	5.73807879213009
KY128482|Snebulosa-6004/NL/2016|strix_nebulosa|nl_li_kr|2016-09	western europe	netherlands	strix nebulosa	50.8718129278143	6.05503273669331
NA|Blackbird_London_2022_a|turdus_merula|gbr|2022-09	northern europe	united kingdom	turdus merula	54.0438440515314	-2.78687513666638
NA|Blackbird_London_2022_b|turdus_merula|gbr|2022-09	northern europe	united kingdom	turdus merula	54.0438440515314	-2.78687513666638
NA|Blackbird_Cambridgeshire_2023_a|turdus_merula|gbr|2023-08	northern europe	united kingdom	turdus merula	54.0438440515314	-2.78687513666638
PP104383|TE2518012|culex_pipiens|ita|2023-08-02	southern europe	italy	culex pipiens	43.364984143765	13.1111089855815
PP104384|TE2518112|culex_pipiens|ita|2023-09-22	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
PP104385|TE2518212|culex_pipiens|ita|2023-09-22	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
PP104386|TE2518312|culex_pipiens|ita|2023-09-08	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
PP104387|TE2518512|sturnus_vulgaris|ita|2023-09-13	southern europe	italy	sturnus vulgaris	42.9660582481816	12.4915657736183
PP104388|TE2518612|turdus_merula|ita|2023-09-22	southern europe	italy	turdus merula	42.9660582481816	12.4915657736183
PP104389|TE2518712|culex_pipiens|ita|2023-09-22	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
PP104391|TE2518912|turdus_merula|ita|2023-09-07	southern europe	italy	turdus merula	44.5384682233432	11.0245992898255
OR921093|2023TE1639111|culex_pipiens|ita|2023-08-11	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921095|2023TE1639211|culex_pipiens|ita|2023-08-11	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921096|2023TE1822511|turdus_merula|ita|2023-09-07	southern europe	italy	turdus merula	45.6595758067318	11.8428083995249
OR921097|2023TE1640411|culex_pipiens|ita|2023-08-11	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921098|2023TE1683511|columba_palumbus|ita|2023-08-23	southern europe	italy	columba palumbus	44.5384682233432	11.0245992898255
OR921099|2023TE1908111|turdus_merula|ita|2023-09-15	southern europe	italy	turdus merula	44.5384682233432	11.0245992898255
OR921100|2023TE1837011|culex_pipiens|ita|2023-09-08	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OR921101|2023TE1838411|culex_pipiens|ita|2023-09-08	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OR921102|2023TE1908911|culex_pipiens|ita|2023-09-15	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921103|2023TE1683411|culex_pipiens|ita|2023-08-11	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921104|2023TE1838911|culex_pipiens|ita|2023-09-08	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR921105|2023TE1839111|phoenicurus_phoenicurus|ita|2023-09-08	southern europe	italy	phoenicurus phoenicurus	44.5384682233432	11.0245992898255
OR921106|2023TE1699411|culex_pipiens|ita|2023-08-24	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OR757488|1572124|culex_pipiens|ita|2023-07-06	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OR757489|1572126|culex_pipiens|ita|2023-07-07	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OR757490|17404210|culex_pipiens|ita|2023-07-11	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR757491|17404212|laridae_sp|ita|2023-07-20	southern europe	italy	laridae sp.	44.5384682233432	11.0245992898255
OR757492|17404213|culex_pipiens|ita|2023-07-24	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR757493|17404216|culex_pipiens|ita|2023-07-15	southern europe	italy	culex pipiens	45.0574417495465	7.92378460187818
OR757494|17404220|turdus_merula|ita|2023-07-24	southern europe	italy	turdus merula	44.5384682233432	11.0245992898255
OR757495|1740422|culex_pipiens|ita|2023-07-18	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR757496|1740423|NA|ita|2023-07-15	southern europe	italy	NA	44.5384682233432	11.0245992898255
OR757497|1740425|culex_pipiens|ita|2023-07-16	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OR573992|AS201700144|branta_ruficollis|nl_li|2017-08-15	western europe	netherlands	branta ruficollis	51.2062510080883	5.93565554503408
OR573993|AS201700147|branta_ruficollis|nl_li|2017-08-15	western europe	netherlands	branta ruficollis	51.2062510080883	5.93565554503408
OP734245|NA|culex_pipiens|ita|2022-07-01	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP734246|NA|culex_pipiens|ita|2022-07-29	southern europe	italy	culex pipiens	46.1535400957968	13.0594621283728
OP734248|NA|culex_pipiens|ita|2022-07-29	southern europe	italy	culex pipiens	45.6209228193015	9.77073774623
OP734249|NA|culex_pipiens|ita|2022-08-01	southern europe	italy	culex pipiens	43.364984143765	13.1111089855815
OP734250|NA|culex_pipiens|ita|2022-07-29	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP734251|NA|culex_pipiens|ita|2022-08-01	southern europe	italy	culex pipiens	41.979336323661	12.7721450906831
OP734252|NA|culex_pipiens|ita|2022-08-01	southern europe	italy	culex pipiens	41.979336323661	12.7721450906831
OP734253|NA|culex_pipiens|ita|2022-08-05	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP734254|NA|NA|ita|2022-08-08	southern europe	italy	NA	43.4485017414298	11.129735579747
OP734255|NA|culex_pipiens|ita|2022-07-27	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP734256|NA|culex_pipiens|ita|2022-07-29	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OP734257|NA|culex_pipiens|ita|2022-07-22	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP734259|NA|culex_pipiens|ita|2022-07-25	southern europe	italy	culex pipiens	45.6595758067318	11.8428083995249
OP734260|NA|culex_pipiens|ita|2022-07-08	southern europe	italy	culex pipiens	43.364984143765	13.1111089855815
OP734261|NA|culex_pipiens|ita|2022-07-08	southern europe	italy	culex pipiens	44.5384682233432	11.0245992898255
OP555956|NA|strix_nebulosa|bel|2017-07-10	western europe	belgium	strix nebulosa	50.64017310615	4.66939027974939
OP555957|NA|turdus_merula|bel|2017-07-24	western europe	belgium	turdus merula	50.64017310615	4.66939027974939
OP555958|NA|turdus_merula|bel|2017-08-07	western europe	belgium	turdus merula	50.64017310615	4.66939027974939
ON032477|ITA2018_17495|turdus_merula|it_bo|2018-08-17	southern europe	italy	turdus merula	44.4315451949266	11.3483660408424
ON032478|ITA2018_18638|turdus_merula|it_tv|2018-09-03	southern europe	italy	turdus merula	45.7955701979281	12.2183814439524
ON032480|ITA2021_305818|turdus_merula|it_bo|2021-09-30	southern europe	italy	turdus merula	44.4315451949266	11.3483660408424
ON032481|ITA2021_302715|turdus_merula|it_bo|2021-09-02	southern europe	italy	turdus merula	44.4315451949266	11.3483660408424
ON032482|ITA2021_304421|larus_michahellis|it_rn|2021-09-08	southern europe	italy	larus michahellis	43.9785928301939	12.5560618999898
ON032483|ITA2021_301597|turdus_merula|it_bo|2021-08-19	southern europe	italy	turdus merula	44.4315451949266	11.3483660408424
ON032484|ITA2021_305812|columba_palumbus|it_fe|2021-09-10	southern europe	italy	columba palumbus	44.7896320934572	11.8486705980501
MT133690|UV/BlackBird/Sweden/SVA190801SZ0368/VLT001567/2019|turdus_merula|swe|2019-08-01	northern europe	sweden	turdus merula	62.374013544985	16.2835241791686
MW164634|11pool1743|culex_pipiens|it_pd|2011-08-09	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164635|11pool1805|culex_pipiens|it_pd|2011-08-09	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164636|11pool1941|culex_pipiens|it_ro|2011-08-16	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164637|11pool1989|culex_pipiens|it_ve|2011-08-23	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164638|11pool2109|culex_pipiens|it_vi|2011-08-24	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164639|11pool2135|culex_pipiens|it_vr|2011-08-30	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164640|11pool2444|culex_pipiens|it_vr|2011-09-21	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164643|12pool2046|culex_pipiens|it_ve|2012-07-24	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164644|12pool2194|culex_pipiens|it_tv|2012-08-09	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164645|12pool2214|culex_pipiens|it_ve|2012-08-07	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164646|12pool2249|culex_pipiens|it_vi|2012-08-07	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164647|12pool2262|culex_pipiens|it_vi|2012-08-07	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164648|12pool2316|culex_pipiens|it_vi|2012-08-22	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164649|12pool2412|culex_pipiens|it_ro|2012-08-22	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164650|12pool2586|culex_pipiens|it_tv|2012-08-23	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164651|12pool2626|culex_pipiens|it_vi|2012-09-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164652|12pool2628|culex_pipiens|it_vi|2012-09-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164653|12pool2653|culex_pipiens|it_ro|2012-09-05	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164654|12VIR6777-9|turdus_pilaris|it_pd|2012-09-05	southern europe	italy	turdus pilaris	45.3503606701822	11.8055699190195
MW164655|12VIR6787-10|alauda_arvensis|it_tv|2012-09-03	southern europe	italy	alauda arvensis	45.7955701979281	12.2183814439524
MW164656|12VIR6787-11|alauda_arvensis|it_tv|2012-09-03	southern europe	italy	alauda arvensis	45.7955701979281	12.2183814439524
MW164657|12VIR6787-9|alauda_arvensis|it_tv|2012-09-03	southern europe	italy	alauda arvensis	45.7955701979281	12.2183814439524
MW164658|13pool5009|culex_pipiens|it_vr|2013-07-31	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164659|13pool5600|culex_pipiens|it_tv|2013-08-07	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164660|13pool5678|culex_pipiens|it_ro|2013-08-08	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164662|13pool5744|culex_pipiens|it_ve|2013-08-13	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164663|13pool5778|culex_pipiens|it_vr|2013-08-13	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164664|13pool5827|culex_pipiens|it_ro|2013-08-13	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164665|13pool5873|culex_pipiens|it_ve|2013-08-13	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164666|13pool5999|culex_pipiens|it_tv|2013-08-21	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164667|13pool6009|culex_pipiens|it_ro|2013-08-21	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164668|13pool6465|culex_pipiens|it_vi|2013-09-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164669|13pool6471|culex_pipiens|it_vi|2013-09-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164670|13pool6472|culex_pipiens|it_vi|2013-09-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164671|14pool1366|culex_pipiens|it_vr|2014-08-20	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164672|14pool1388|culex_pipiens|it_vi|2014-08-22	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164673|14pool1394|culex_pipiens|it_ve|2014-08-26	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164674|14pool1419|culex_pipiens|it_tv|2014-08-26	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164676|14pool1478|culex_pipiens|it_ro|2014-09-02	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164677|14pool1489|culex_pipiens|it_vr|2014-09-02	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164678|14pool1494|culex_pipiens|it_vr|2014-09-02	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164679|14pool1511|culex_pipiens|it_vi|2014-09-03	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164680|14pool1698|culex_pipiens|it_ve|2014-09-23	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164681|14pool1703|culex_pipiens|it_ve|2014-09-23	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164682|14pool857|culex_pipiens|it_ro|2014-07-22	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164683|14pool895|culex_pipiens|it_vr|2014-07-22	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164684|14VIR5467-8|NA|it_tv|2014-09-02	southern europe	italy	NA	45.7955701979281	12.2183814439524
MW164685|15pool1187|culex_pipiens|it_vr|2015-07-22	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164686|15pool1335|culex_pipiens|it_ro|2015-08-03	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164687|15pool1419|culex_pipiens|it_vi|2015-08-05	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164688|15pool1426|culex_pipiens|it_pd|2015-08-06	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164689|15pool1503|culex_pipiens|it_ve|2015-08-10	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164691|15pool1751|culex_pipiens|it_vr|2015-09-02	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164693|15pool1939|culex_pipiens|it_ud|2015-09-21	southern europe	italy	culex pipiens	46.2262197388729	13.1581016601095
MW164694|15VIR4781-31|turdus_iliacus|it_tv|2015-09-15	southern europe	italy	turdus iliacus	45.7955701979281	12.2183814439524
MW164697|16pool1634|culex_pipiens|it_pd|2016-07-20	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164698|16pool1777|culex_pipiens|it_go|2016-07-25	southern europe	italy	culex pipiens	45.8566369400493	13.4997695650497
MW164699|16pool1839|culex_pipiens|it_ro|2016-08-01	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164700|16pool1870|culex_pipiens|it_ve|2016-08-01	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164701|16pool2021|culex_pipiens|it_tv|2016-08-08	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164702|16pool2106|culex_pipiens|it_ro|2016-08-16	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164703|16pool2117|culex_pipiens|it_ve|2016-08-16	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164704|16pool2311|culex_pipiens|it_vi|2016-08-24	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164705|16pool2336|culex_pipiens|it_ve|2016-08-29	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164706|16pool2355|culex_pipiens|it_ud|2016-08-29	southern europe	italy	culex pipiens	46.2262197388729	13.1581016601095
MW164707|16pool2571|culex_pipiens|it_vr|2016-09-14	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164708|17pool103G|culex_pipiens|it_vi|2017-08-30	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164709|17pool1191|culex_pipiens|it_ve|2017-07-17	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164710|17pool1250|culex_pipiens|it_vi|2017-07-19	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164711|17pool1252|culex_pipiens|it_vi|2017-07-19	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164715|17pool1525|culex_pipiens|it_tv|2017-08-07	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164716|17pool1544|culex_pipiens|it_pn|2017-08-07	southern europe	italy	culex pipiens	46.1089440750294	12.6830404175962
MW164717|17pool1609|culex_pipiens|it_ud|2017-08-16	southern europe	italy	culex pipiens	46.2262197388729	13.1581016601095
MW164719|17pool1647|culex_pipiens|it_vr|2017-08-16	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164721|17pool1664|culex_pipiens|it_vr|2017-08-16	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164722|17pool1671|culex_pipiens|it_pd|2017-08-16	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164724|17pool1709|culex_pipiens|it_ro|2017-08-17	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164725|17pool1729|culex_pipiens|it_tv|2017-08-21	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164726|17pool1923|culex_pipiens|it_ve|2017-09-11	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164727|17VIR7761-4|sturnus_vulgaris|it_ro|2017-09-01	southern europe	italy	sturnus vulgaris	45.0137215307598	11.8996071697747
MW164728|17VIR7838-4|turdus_merula|it_ro|2017-08-30	southern europe	italy	turdus merula	45.0137215307598	11.8996071697747
MW164729|17VIR8655-3|larus_michahellis|it_ro|2017-09-18	southern europe	italy	larus michahellis	45.0137215307598	11.8996071697747
MW164730|18pool1009|culex_pipiens|it_ve|2018-07-10	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164731|18pool1018|culex_pipiens|it_ve|2018-07-10	southern europe	italy	culex pipiens	45.526082648527	12.476782716513
MW164732|18pool108G|culex_pipiens|it_vr|2018-09-06	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164733|18pool1124|culex_pipiens|it_vi|2018-07-12	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164734|18pool1141|culex_pipiens|it_pn|2018-07-17	southern europe	italy	culex pipiens	46.1089440750294	12.6830404175962
MW164735|18pool1163|culex_pipiens|it_tv|2018-07-17	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164736|18pool1219|culex_pipiens|it_ro|2018-07-17	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164737|18pool1229|culex_pipiens|it_pd|2018-07-19	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164738|18pool1258|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164739|18pool1261|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164740|18pool1262|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164741|18pool1263|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164742|18pool1264|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164743|18pool1267|culex_pipiens|it_vr|2018-07-19	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164744|18pool1347|culex_pipiens|it_ro|2018-07-24	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164745|18pool1398|culex_pipiens|it_vr|2018-07-26	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164746|18pool1405|culex_pipiens|it_vr|2018-07-26	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164747|18pool1430|culex_pipiens|it_pn|2018-07-31	southern europe	italy	culex pipiens	46.1089440750294	12.6830404175962
MW164748|18pool1442|culex_pipiens|it_tv|2018-07-31	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164749|18pool1506|culex_pipiens|it_pd|2018-07-31	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164753|18pool1523|culex_pipiens|it_vi|2018-08-02	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164754|18pool1556|culex_pipiens|it_tv|2018-08-07	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164755|18pool1575|culex_pipiens|it_ro|2018-08-07	southern europe	italy	culex pipiens	45.0137215307598	11.8996071697747
MW164756|18pool1610|culex_pipiens|it_pd|2018-08-09	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164757|18pool1614|culex_pipiens|it_vi|2018-08-09	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164758|18pool1617|culex_pipiens|it_vr|2018-08-09	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164759|18pool1649|culex_pipiens|it_ud|2018-08-14	southern europe	italy	culex pipiens	46.2262197388729	13.1581016601095
MW164760|18pool1660|culex_pipiens|it_ud|2018-08-14	southern europe	italy	culex pipiens	46.2262197388729	13.1581016601095
MW164761|18pool1662|culex_pipiens|it_tv|2018-08-14	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164762|18pool1712|culex_pipiens|it_vr|2018-08-17	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164764|18pool1795|culex_pipiens|it_vr|2018-08-23	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164765|18pool1832|culex_pipiens|it_tv|2018-08-28	southern europe	italy	culex pipiens	45.7955701979281	12.2183814439524
MW164766|18pool1965|culex_pipiens|it_vr|2018-09-06	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164767|18pool2042|culex_pipiens|it_vi|2018-09-13	southern europe	italy	culex pipiens	45.6741699857423	11.4917739190945
MW164768|18pool78G|culex_pipiens|it_vr|2018-08-09	southern europe	italy	culex pipiens	45.4173535048033	11.0380386816998
MW164769|18pool948|culex_pipiens|it_pd|2018-07-06	southern europe	italy	culex pipiens	45.3503606701822	11.8055699190195
MW164770|18VIR7808-6|ciconia_ciconia|it_vi|2018-09-07	southern europe	italy	ciconia ciconia	45.6741699857423	11.4917739190945
MW164771|18VIR7859-4|turdus_merula|it_tv|2018-09-07	southern europe	italy	turdus merula	45.7955701979281	12.2183814439524
