tipnames	lat	lon	nuts0_id	nuts1_id
MN122183|AS201600281|turdus_merula|NL|2016-09-25	52.011957	5.3269077	NL	NL3
MN122184|AS201600283|turdus_merula|NL|2016-09-27	51.7611801	5.5140482	NL	NL4
MN122185|AS201600284|turdus_merula|NL|2016-10-03	51.7611801	5.5140482	NL	NL4
MN122186|AS201600286|turdus_merula|NL|2016-09-28	51.7611801	5.5140482	NL	NL4
MN122187|AS201600287|turdus_merula|NL|2016-09-27	51.7484858	5.6297284	NL	NL4
MN122191|AS201700084|turdus_merula|NL|2017-07-05	52.0665285	5.2007761	NL	NL3
MN122193|AS201700087|turdus_merula|NL|2017-07-11	52.142736	6.1960584	NL	NL2
MN122194|AS201700090|turdus_merula|NL|2017-07-13	51.9646995	6.2937736	NL	NL2
MN122195|AS201700096|turdus_merula|NL|2017-07-14	51.7171488	5.3608099	NL	NL4
MN122197|AS201700106|turdus_merula|NL|2017-07-25	52.1763515	5.299197	NL	NL3
MN122199|AS201700112|turdus_merula|NL|2017-07-27	52.2215372	6.8936619	NL	NL2
MN122200|AS201700118|turdus_merula|NL|2017-08-03	52.2994652	5.2433925	NL	NL3
MN122201|AS201700121|turdus_merula|NL|2017-08-01	52.7000927	6.3184641	NL	NL1
MN122202|AS201700124|turdus_merula|NL|2017-08-01	52.2215372	6.8936619	NL	NL2
MN122204|AS201700130|turdus_merula|NL|2017-08-16	52.518537	5.471422	NL	NL2
MN122205|AS201700152|turdus_merula|NL|2017-07-19	52.0177649	5.0403003	NL	NL3
MN122206|AS201700155|turdus_merula|NL|2017-08-10	52.3507849	5.2647016	NL	NL2
MN122207|AS201700167|turdus_merula|NL|2017-09-01	52.3507849	5.2647016	NL	NL2
MN122208|AS201700170|turdus_merula|NL|2017-08-25	52.3507849	5.2647016	NL	NL2
MN122209|AS201700174|turdus_merula|NL|2017-08-29	52.0907374	5.1214201	NL	NL3
MN122210|AS201700177|turdus_merula|NL|2017-09-15	52.3450173	5.9836544	NL	NL2
MN122211|AS201700186|turdus_merula|NL|2017-09-13	52.1216782	4.4967413	NL	NL3
MN122212|AS201700189|turdus_merula|NL|2017-09-14	53.0177945	6.7357844	NL	NL1
MN122214|AS201700254|turdus_merula|NL|2017-09-22	52.2291696	5.1668974	NL	NL3
MN122216|AS201800081|turdus_merula|NL|2018-07-27	52.2952549	5.1604238	NL	NL3
MN122217|AS201800082|turdus_merula|NL|2018-07-27	52.2952549	5.1604238	NL	NL3
MN122218|AS201800084|turdus_merula|NL|2018-07-31	53.3902595	6.8374185	NL	NL1
MN122219|AS201800086|turdus_merula|NL|2018-08-01	51.4987962	3.610998	NL	NL3
MN122220|AS201800087|turdus_merula|NL|2018-08-01	52.3582599	6.593873	NL	NL2
MN122221|AS201800088|turdus_merula|NL|2018-08-01	52.2628522	7.0057853	NL	NL2
MN122222|AS201800089|turdus_merula|NL|2018-08-02	52.0376977	4.3219738	NL	NL3
MN122223|AS201800090|turdus_merula|NL|2018-08-02	52.2986655	5.6296194	NL	NL2
MN122224|AS201800091|turdus_merula|NL|2018-08-02	52.2986655	5.6296194	NL	NL2
MN122225|AS201800092|turdus_merula|NL|2018-08-02	51.9244201	4.4777325	NL	NL3
MN122226|AS201800093|turdus_merula|NL|2018-08-03	52.1636188	4.4802444	NL	NL3
MN122227|AS201800094|turdus_merula|NL|2018-08-03	52.1365344	5.2103806	NL	NL3
MN122228|AS201800095|turdus_merula|NL|2018-08-06	51.4987962	3.610998	NL	NL3
MN122230|AS201800099|turdus_merula|NL|2018-08-07	52.692622	5.7378425	NL	NL2
MN122231|AS201800100|turdus_merula|NL|2018-08-07	51.3703748	6.1724031	NL	NL4
MN122232|AS201800101|turdus_merula|NL|2018-08-07	53.0784318	6.6145455	NL	NL1
MN122233|AS201800102|turdus_merula|NL|2018-08-09	53.1103496	6.4101858	NL	NL1
MN122234|AS201800103|turdus_merula|NL|2018-08-10	52.3798566	6.2862366	NL	NL2
MN122236|AS201800113|turdus_merula|NL|2018-08-14	51.9991757	4.217457	NL	NL3
MN122237|AS201800114|turdus_merula|NL|2018-08-15	52.692622	5.7378425	NL	NL2
MN122238|AS201800115|turdus_merula|NL|2018-08-15	53.1740634	6.8190222	NL	NL1
MN122239|AS201800116|turdus_merula|NL|2018-08-16	53.2193835	6.5665018	NL	NL1
MN122240|AS201800118|turdus_merula|NL|2018-08-16	52.0704978	4.3006999	NL	NL3
MN122241|AS201800120|turdus_merula|NL|2018-08-17	52.0480168	5.3662787	NL	NL3
MN122242|AS201800121|turdus_merula|NL|2018-08-17	52.9605613	5.9205217	NL	NL1
MN122243|AS201800122|turdus_merula|NL|2018-08-21	53.1760382	5.9786796	NL	NL1
MN122244|AS201800123|turdus_merula|NL|2018-08-21	53.1760382	5.9786796	NL	NL1
MN122245|AS201800125|turdus_merula|NL|2018-08-22	52.8577076	6.2960104	NL	NL1
MN122246|AS201800126|turdus_merula|NL|2018-08-22	52.5754084	6.6166947	NL	NL2
MN122247|AS201800127|turdus_merula|NL|2018-08-22	53.2193835	6.5665018	NL	NL1
MN122248|AS201800128|turdus_merula|NL|2018-08-22	53.2431482	6.4081044	NL	NL1
MN122249|AS201800129|turdus_merula|NL|2018-08-23	52.1614115	6.4155986	NL	NL2
MN122250|AS201800150|turdus_merula|NL|2018-08-30	52.4049474	4.6201852	NL	NL3
